timestamp,size,anomaly
1739421117.335696,1292,False
1739421117.33599,1292,False
1739421117.336129,94,False
1739421117.352756,1292,False
1739421117.352947,1292,False
1739421117.358801,1292,False
1739421117.359015,1292,False
1739421117.359202,1292,False
1739421117.360003,1292,False
1739421117.36025,1292,False
1739421117.360507,1292,False
1739421117.360608,309,False
1739421117.36071,2542,False
1739421117.363572,1292,False
1739421117.363572,1292,False
1739421117.363958,94,False
1739421117.364045,1292,False
1739421117.364392,1292,False
1739421117.36456,1292,False
1739421117.364822,1292,False
1739421117.36567,1292,False
1739421117.366188,1292,False
1739421117.366422,1292,False
1739421117.36667,1292,False
1739421117.366927,1292,False
1739421117.367174,1292,False
1739421117.367369,94,False
1739421117.37306,1292,False
1739421117.373336,1292,False
1739421117.373558,1292,False
1739421117.375738,1292,False
1739421117.375994,1292,False
1739421117.376241,1292,False
1739421117.376477,1292,False
1739421117.376726,1292,False
1739421117.37719,1292,False
1739421117.377387,1292,False
1739421117.377482,1292,False
1739421117.377549,94,False
1739421117.377719,1292,False
1739421117.377983,1292,False
1739421117.378224,1292,False
1739421117.378502,1292,False
1739421117.378738,1292,False
1739421117.380016,1292,False
1739421117.380256,1292,False
1739421117.380501,1292,False
1739421117.380636,155,False
1739421117.380842,94,False
1739421117.432307,88,False
1739421117.444597,86,False
1739421117.492464,54,False
1739421117.515968,134,False
1739421117.525944,86,False
1739421117.526137,74,False
1739421117.526855,2192,False
1739421117.542444,54,False
1739421117.564849,54,False
1739421117.620282,344,False
1739421117.62113,154,False
1739421117.621718,4357,False
1739421117.676251,74,False
1739421117.676318,74,False
1739421117.676443,129,False
1739421117.676443,54,False
1739421117.712358,74,False
1739421117.712439,361,False
1739421117.712479,74,False
1739421117.713049,74,False
1739421117.72196,54,False
1739421117.748551,1052,False
1739421117.753867,74,False
1739421117.828149,134,False
1739421117.834735,91,False
1739421117.848925,728,False
1739421117.852414,135,False
1739421117.856213,95,False
1739421117.86001,240,False
1739421117.880445,54,False
1739421117.949679,346,False
1739421117.949961,4820,False
1739421117.962892,74,False
1739421117.962999,92,False
1739421117.991307,95,False
1739421118.043702,54,False
1739421118.088808,54,False
1739421118.126387,1292,False
1739421118.126498,252,False
1739421118.12655,278,False
1739421118.12667,86,False
1739421118.13905,247,False
1739421118.146065,99,False
1739421118.149084,553,False
1739421118.149347,2809,False
1739421118.15177,309,False
1739421118.15192,2855,False
1739421118.19541,86,False
1739421118.202789,147,False
1739421118.202977,1818,False
1739421118.230954,74,False
1739421118.23146,1454,False
1739421118.231815,1454,False
1739421118.231908,54,False
1739421118.232577,1454,False
1739421118.232577,1454,False
1739421118.23273,54,False
1739421118.232907,1454,False
1739421118.234038,1454,False
1739421118.234038,1454,False
1739421118.234038,1454,False
1739421118.234114,54,False
1739421118.234161,54,False
1739421118.235214,422,False
1739421118.245223,74,False
1739421118.245678,74,False
1739421118.245973,74,False
1739421118.248727,88,False
1739421118.248973,102,False
1739421118.249984,90,False
1739421118.255134,86,False
1739421118.255305,74,False
1739421118.25632,591,False
1739421118.262016,1292,False
1739421118.262225,1292,False
1739421118.262304,1292,False
1739421118.262751,139,False
1739421118.290457,54,False
1739421118.303034,143,False
1739421118.303201,628,False
1739421118.351397,74,False
1739421118.351519,102,False
1739421118.351628,502,False
1739421118.351715,85,False
1739421118.35182,102,False
1739421118.352089,1292,False
1739421118.352329,1292,False
1739421118.352649,99,False
1739421118.354737,1294,False
1739421118.354994,1294,False
1739421118.355102,74,False
1739421118.355227,1294,False
1739421118.355718,537,False
1739421118.355822,74,False
1739421118.355982,1292,False
1739421118.356121,361,False
1739421118.357002,993,False
1739421118.357117,155,False
1739421118.357227,86,False
1739421118.357417,1292,False
1739421118.357529,154,False
1739421118.357641,93,False
1739421118.358233,241,False
1739421118.371832,99,False
1739421118.385756,94,False
1739421118.41141,254,False
1739421118.411567,258,False
1739421118.411684,74,False
1739421118.412904,182,False
1739421118.413158,54,False
1739421118.414627,97,False
1739421118.414811,97,False
1739421118.417701,74,False
1739421118.420638,336,False
1739421118.420756,2694,False
1739421118.422888,66,False
1739421118.424136,66,False
1739421118.424492,66,False
1739421118.424763,54,False
1739421118.425532,309,False
1739421118.425669,2741,False
1739421118.447568,502,False
1739421118.448034,96,False
1739421118.44906,94,False
1739421118.47881,88,False
1739421118.50296,54,False
1739421118.503132,89,False
1739421118.508164,54,False
1739421118.508959,273,False
1739421118.51248,117,False
1739421118.516467,488,False
1739421118.516647,54,False
1739421118.516684,85,False
1739421118.534723,228,False
1739421118.542821,66,False
1739421118.557401,66,False
1739421118.559968,54,False
1739421118.578617,248,False
1739421118.597996,134,False
1739421118.623145,54,False
1739421118.623233,89,False
1739421118.62679,487,False
1739421118.626911,54,False
1739421118.627266,85,False
1739421118.639348,54,False
1739421118.67162,54,False
1739421118.714325,134,False
1739421118.714325,54,False
1739421118.734765,292,False
1739421118.760757,66,False
1739421118.765276,54,False
1739421118.834077,66,False
1739421118.834237,54,False
1739421118.840711,523,False
1739421118.924079,214,False
1739421118.925849,1294,False
1739421118.926077,672,False
1739421118.926186,74,False
1739421118.926277,1294,False
1739421118.926568,1294,False
1739421118.926639,74,False
1739421118.92683,1294,False
1739421118.929489,1294,False
1739421118.929489,1060,False
1739421118.929596,74,False
1739421118.929647,398,False
1739421118.929707,74,False
1739421118.932193,1294,False
1739421118.937044,1294,False
1739421118.937044,545,False
